file_date,ip,target_c2_raw,c2_label,country_code,country_name,open_ports,description,confidence_score,stix_pattern
2026-07-06,141.94.20.38,c2_meshagent,meshagent,FR,France,443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '141.94.20.38']
2026-07-06,89.58.9.56,c2_metasploit,metasploit,DE,Germany,3790,CriminalIP C2 Feed - Traffic seen on port 3790,100,[ipv4-addr:value = '89.58.9.56']
2026-07-06,185.3.94.55,c2_meshagent,meshagent,GB,United Kingdom,443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '185.3.94.55']
2026-07-06,88.119.170.212,c2_metasploit,metasploit,NL,Netherlands,3790,CriminalIP C2 Feed - Traffic seen on port 3790,100,[ipv4-addr:value = '88.119.170.212']
2026-07-06,5.44.240.151,c2_metasploit,metasploit,FI,Finland,3790,CriminalIP C2 Feed - Traffic seen on port 3790,100,[ipv4-addr:value = '5.44.240.151']
2026-07-06,66.85.173.48,c2_metasploit,metasploit,US,United States,3790,CriminalIP C2 Feed - Traffic seen on port 3790,100,[ipv4-addr:value = '66.85.173.48']
2026-07-06,146.59.1.7,c2_mythic,mythic,FR,France,443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '146.59.1.7']
2026-07-06,15.204.95.228,c2_havoc,havoc,US,United States,8080,CriminalIP C2 Feed - Traffic seen on port 8080,100,[ipv4-addr:value = '15.204.95.228']
2026-07-06,83.243.64.180,c2_metasploit,metasploit,RU,Russian Federation,3790,CriminalIP C2 Feed - Traffic seen on port 3790,100,[ipv4-addr:value = '83.243.64.180']
2026-07-06,209.195.169.238,c2_metasploit,metasploit,US,United States,3790,CriminalIP C2 Feed - Traffic seen on port 3790,100,[ipv4-addr:value = '209.195.169.238']
2026-07-06,77.92.95.143,c2_metasploit,metasploit,GB,United Kingdom,3790,CriminalIP C2 Feed - Traffic seen on port 3790,100,[ipv4-addr:value = '77.92.95.143']
2026-07-06,8.153.193.141,c2_meshagent,meshagent,CN,China,80,CriminalIP C2 Feed - Traffic seen on port 80,100,[ipv4-addr:value = '8.153.193.141']
2026-07-06,52.76.71.28,c2_meshagent,meshagent,SG,Singapore,443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '52.76.71.28']
2026-07-06,47.99.124.12,c2_metasploit,metasploit,CN,China,3790,CriminalIP C2 Feed - Traffic seen on port 3790,100,[ipv4-addr:value = '47.99.124.12']
2026-07-06,66.228.49.103,c2_meshagent,meshagent,US,United States,443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '66.228.49.103']
2026-07-06,144.24.95.90,C2,C2,KR,"Korea, Republic of",443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '144.24.95.90']
2026-07-06,96.85.21.74,c2_meshagent,meshagent,US,United States,80,CriminalIP C2 Feed - Traffic seen on port 80,100,[ipv4-addr:value = '96.85.21.74']
2026-07-06,77.92.95.144,c2_metasploit,metasploit,GB,United Kingdom,3790,CriminalIP C2 Feed - Traffic seen on port 3790,100,[ipv4-addr:value = '77.92.95.144']
2026-07-06,8.148.239.0,c2_meshagent,meshagent,CN,China,80,CriminalIP C2 Feed - Traffic seen on port 80,100,[ipv4-addr:value = '8.148.239.0']
2026-07-06,62.210.170.230,c2_meshagent,meshagent,FR,France,443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '62.210.170.230']
2026-07-06,62.171.177.142,c2_metasploit,metasploit,FR,France,3790,CriminalIP C2 Feed - Traffic seen on port 3790,100,[ipv4-addr:value = '62.171.177.142']
2026-07-06,18.142.15.107,c2_meshagent,meshagent,SG,Singapore,443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '18.142.15.107']
2026-07-06,158.247.227.62,c2_meshagent,meshagent,KR,"Korea, Republic of",443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '158.247.227.62']
2026-07-06,16.171.166.169,c2_meshagent,meshagent,SE,Sweden,80,CriminalIP C2 Feed - Traffic seen on port 80,100,[ipv4-addr:value = '16.171.166.169']
2026-07-06,3.36.30.41,C2,C2,KR,"Korea, Republic of",443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '3.36.30.41']
2026-07-06,52.74.8.50,c2_meshagent,meshagent,SG,Singapore,443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '52.74.8.50']
2026-07-06,5.161.203.172,c2_meshagent,meshagent,US,United States,443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '5.161.203.172']
2026-07-06,45.227.254.6,c2_metasploit,metasploit,PA,Panama,3790,CriminalIP C2 Feed - Traffic seen on port 3790,100,[ipv4-addr:value = '45.227.254.6']
2026-07-06,79.72.72.196,c2_meshagent,meshagent,GB,United Kingdom,8080,CriminalIP C2 Feed - Traffic seen on port 8080,100,[ipv4-addr:value = '79.72.72.196']
2026-07-06,132.145.70.6,c2_mythic,mythic,GB,United Kingdom,443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '132.145.70.6']
2026-07-06,62.171.177.141,c2_metasploit,metasploit,FR,France,3790,CriminalIP C2 Feed - Traffic seen on port 3790,100,[ipv4-addr:value = '62.171.177.141']
2026-07-06,66.228.53.254,c2_metasploit,metasploit,US,United States,3790,CriminalIP C2 Feed - Traffic seen on port 3790,100,[ipv4-addr:value = '66.228.53.254']
2026-07-06,20.199.16.117,c2_meshagent,meshagent,FR,France,443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '20.199.16.117']
2026-07-06,88.99.213.30,c2_metasploit,metasploit,DE,Germany,3790,CriminalIP C2 Feed - Traffic seen on port 3790,100,[ipv4-addr:value = '88.99.213.30']
2026-07-06,77.92.95.127,c2_metasploit,metasploit,GB,United Kingdom,3790,CriminalIP C2 Feed - Traffic seen on port 3790,100,[ipv4-addr:value = '77.92.95.127']
2026-07-06,3.124.242.111,c2_metasploit,metasploit,DE,Germany,3790,CriminalIP C2 Feed - Traffic seen on port 3790,100,[ipv4-addr:value = '3.124.242.111']
2026-07-06,38.55.193.188,c2_metasploit,metasploit,US,United States,3790,CriminalIP C2 Feed - Traffic seen on port 3790,100,[ipv4-addr:value = '38.55.193.188']
2026-07-06,172.104.26.16,c2_meshagent,meshagent,US,United States,443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '172.104.26.16']
2026-07-06,8.218.198.238,C2,C2,HK,Hong Kong,443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '8.218.198.238']
2026-07-06,212.227.28.64,c2_metasploit,metasploit,FR,France,3790,CriminalIP C2 Feed - Traffic seen on port 3790,100,[ipv4-addr:value = '212.227.28.64']
2026-07-06,8.137.8.33,c2_meshagent,meshagent,CN,China,443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '8.137.8.33']
2026-07-06,66.94.126.203,c2_metasploit,metasploit,US,United States,3790,CriminalIP C2 Feed - Traffic seen on port 3790,100,[ipv4-addr:value = '66.94.126.203']
2026-07-06,54.189.189.167,c2_meshagent,meshagent,US,United States,80,CriminalIP C2 Feed - Traffic seen on port 80,100,[ipv4-addr:value = '54.189.189.167']
2026-07-06,45.79.207.53,c2_metasploit,metasploit,US,United States,3790,CriminalIP C2 Feed - Traffic seen on port 3790,100,[ipv4-addr:value = '45.79.207.53']
2026-07-06,16.16.18.119,c2_meshagent,meshagent,SE,Sweden,80,CriminalIP C2 Feed - Traffic seen on port 80,100,[ipv4-addr:value = '16.16.18.119']
2026-07-06,213.252.246.56,c2_metasploit,metasploit,LT,Lithuania,3790,CriminalIP C2 Feed - Traffic seen on port 3790,100,[ipv4-addr:value = '213.252.246.56']
2026-07-06,98.187.161.247,c2_meshagent,meshagent,US,United States,3790,CriminalIP C2 Feed - Traffic seen on port 3790,100,[ipv4-addr:value = '98.187.161.247']
2026-07-06,20.79.154.216,C2,C2,DE,Germany,443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '20.79.154.216']
2026-07-06,41.33.33.14,c2_meshagent,meshagent,EG,Egypt,443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '41.33.33.14']
2026-07-06,217.114.222.12,c2_metasploit,metasploit,DE,Germany,3790,CriminalIP C2 Feed - Traffic seen on port 3790,100,[ipv4-addr:value = '217.114.222.12']
