file_date,ip,target_c2_raw,c2_label,country_code,country_name,open_ports,description,confidence_score,stix_pattern
2026-05-08,46.62.161.76,c2_mythic,mythic,FI,Finland,80,CriminalIP C2 Feed - Traffic seen on port 80,100,[ipv4-addr:value = '46.62.161.76']
2026-05-08,207.180.253.83,c2_meshagent,meshagent,FR,France,443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '207.180.253.83']
2026-05-08,43.139.57.190,c2_havoc,havoc,CN,China,443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '43.139.57.190']
2026-05-08,144.24.175.146,c2_meshagent,meshagent,DE,Germany,443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '144.24.175.146']
2026-05-08,143.198.215.97,c2_havoc,havoc,SG,Singapore,8080,CriminalIP C2 Feed - Traffic seen on port 8080,100,[ipv4-addr:value = '143.198.215.97']
2026-05-08,141.148.82.62,c2_meshagent,meshagent,US,United States,443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '141.148.82.62']
2026-05-08,189.90.58.78,c2_meshagent,meshagent,BR,Brazil,80,CriminalIP C2 Feed - Traffic seen on port 80,100,[ipv4-addr:value = '189.90.58.78']
2026-05-08,144.126.222.31,c2_meshagent,meshagent,US,United States,80,CriminalIP C2 Feed - Traffic seen on port 80,100,[ipv4-addr:value = '144.126.222.31']
2026-05-08,45.150.128.160,c2_havoc,havoc,TH,Thailand,80,CriminalIP C2 Feed - Traffic seen on port 80,100,[ipv4-addr:value = '45.150.128.160']
2026-05-08,142.93.88.220,c2_havoc,havoc,US,United States,443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '142.93.88.220']
2026-05-08,144.22.183.82,c2_meshagent,meshagent,BR,Brazil,443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '144.22.183.82']
2026-05-08,51.68.151.94,c2_mythic,mythic,FR,France,80,CriminalIP C2 Feed - Traffic seen on port 80,100,[ipv4-addr:value = '51.68.151.94']
