file_date,ip,target_c2_raw,c2_label,country_code,country_name,open_ports,description,confidence_score,stix_pattern
2026-07-07,144.24.95.90,C2,C2,KR,"Korea, Republic of",443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '144.24.95.90']
2026-07-07,13.250.79.251,c2_meshagent,meshagent,SG,Singapore,8086,CriminalIP C2 Feed - Traffic seen on port 8086,100,[ipv4-addr:value = '13.250.79.251']
2026-07-07,89.58.40.80,c2_meshagent,meshagent,DE,Germany,80,CriminalIP C2 Feed - Traffic seen on port 80,100,[ipv4-addr:value = '89.58.40.80']
2026-07-07,82.156.224.184,c2_havoc,havoc,CN,China,80,CriminalIP C2 Feed - Traffic seen on port 80,100,[ipv4-addr:value = '82.156.224.184']
2026-07-07,45.138.50.124,c2_metasploit,metasploit,DE,Germany,3790,CriminalIP C2 Feed - Traffic seen on port 3790,100,[ipv4-addr:value = '45.138.50.124']
2026-07-07,8.153.193.141,c2_meshagent,meshagent,CN,China,80,CriminalIP C2 Feed - Traffic seen on port 80,100,[ipv4-addr:value = '8.153.193.141']
2026-07-07,51.195.109.99,C2,C2,FR,France,443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '51.195.109.99']
2026-07-07,8.222.192.153,c2_havoc,havoc,SG,Singapore,8080,CriminalIP C2 Feed - Traffic seen on port 8080,100,[ipv4-addr:value = '8.222.192.153']
2026-07-07,77.92.95.127,c2_metasploit,metasploit,GB,United Kingdom,3790,CriminalIP C2 Feed - Traffic seen on port 3790,100,[ipv4-addr:value = '77.92.95.127']
2026-07-07,51.195.220.56,c2_meshagent,meshagent,FR,France,443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '51.195.220.56']
2026-07-07,132.145.70.6,c2_mythic,mythic,GB,United Kingdom,443,CriminalIP C2 Feed - Traffic seen on port 443,100,[ipv4-addr:value = '132.145.70.6']
2026-07-07,20.199.16.117,c2_meshagent,meshagent,FR,France,8080,CriminalIP C2 Feed - Traffic seen on port 8080,100,[ipv4-addr:value = '20.199.16.117']
